customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
6315758,59504295,,1,Tiki Trading,3,,,2024-12-21 07:06:57+00:00,2024-12-23 17:21:45+00:00,20057049
22943169,59504295,,1,Tiki Trading,4,,,2022-09-22 02:38:58+00:00,2022-09-22 12:56:30+00:00,18089768
22424558,59504295,,1,Tiki Trading,2,,,2021-11-18 08:58:18+00:00,2021-11-19 12:00:09+00:00,13339046
8337902,59504295,,1,Tiki Trading,2,,,2025-11-11 13:05:29+00:00,2025-11-16 13:39:11+00:00,20191086
28803941,59504295,,1,Tiki Trading,1,,,2023-05-11 05:05:06+00:00,2023-05-11 14:51:58+00:00,19213521
22695070,59504295,,1,Tiki Trading,4,,,2022-12-12 04:05:42+00:00,2022-12-15 09:27:25+00:00,18427697
9814159,59504295,,1,Tiki Trading,4,,,2022-05-05 05:16:38+00:00,2022-05-06 09:14:23+00:00,16992395
25936457,59504295,,1,Tiki Trading,2,,,2021-12-29 10:40:15+00:00,2021-12-31 09:30:12+00:00,14439674
25936457,59504295,,1,Tiki Trading,4,,,2022-01-06 17:17:16+00:00,2022-01-11 16:49:17+00:00,14439689
25936457,59504295,,1,Tiki Trading,2,,,2022-01-06 17:17:16+00:00,2022-01-11 16:49:17+00:00,14439663
20840502,59504295,,1,Tiki Trading,1,,,2022-08-27 07:07:32+00:00,2022-08-30 15:54:38+00:00,17579467
5805393,59504295,,1,Tiki Trading,3,,,2021-10-23 17:23:30+00:00,,9769923
7851861,59504295,,1,Tiki Trading,3,,,2022-05-18 00:59:58+00:00,2022-05-22 14:27:19+00:00,16419946
7851861,59504295,,1,Tiki Trading,2,,,2022-05-18 00:59:58+00:00,2022-05-22 14:27:19+00:00,16419973
10805001,59504295,,1,Tiki Trading,2,,,2021-05-29 16:50:28+00:00,,10083102
28013169,59504295,,1,Tiki Trading,1,,,2022-08-18 19:48:16+00:00,2022-08-19 09:27:19+00:00,17459497
23823310,59504295,,1,Tiki Trading,3,,,2022-07-01 09:55:15+00:00,2022-07-06 11:54:17+00:00,16958033
2076041,59504295,,1,Tiki Trading,4,,,2021-08-17 05:36:28+00:00,2021-08-27 11:13:07+00:00,12183262
8718545,59504295,,1,Tiki Trading,4,,,2022-04-29 14:22:33+00:00,2022-05-03 09:20:32+00:00,16171606
9195069,59504295,,1,Tiki Trading,2,,,2022-05-05 03:34:22+00:00,2022-05-05 16:21:18+00:00,16213891
21648132,59504295,,1,Tiki Trading,2,,,2024-05-31 12:19:06+00:00,2024-06-03 10:37:19+00:00,19890591
7736587,59504295,,1,Tiki Trading,3,,,2023-06-06 15:40:16+00:00,2023-06-08 17:21:13+00:00,19312649
5400578,59504295,,1,Tiki Trading,1,,,2021-09-03 13:59:17+00:00,2021-10-18 16:55:27+00:00,12689174
17199540,59504295,,1,Tiki Trading,4,,,2021-04-21 02:48:35+00:00,2021-04-22 18:11:07+00:00,9426295
7692321,59504295,,1,Tiki Trading,1,,,2024-03-29 10:54:50+00:00,2024-03-31 12:22:04+00:00,19826499
7046910,59504295,,1,Tiki Trading,1,,,2021-12-12 04:35:23+00:00,2021-12-12 13:21:24+00:00,14457542
8097347,59504295,,1,Tiki Trading,4,,,2023-09-24 15:18:07+00:00,2023-09-28 09:44:53+00:00,19561500
20639491,59504295,,1,Tiki Trading,1,,,2022-01-07 05:04:02+00:00,,14894011
12039854,59504295,,1,Tiki Trading,1,,,2023-07-10 03:54:20+00:00,2023-07-11 09:43:41+00:00,19368308
6122807,59504295,,1,Tiki Trading,4,,,2021-08-29 08:19:18+00:00,2021-09-04 09:34:48+00:00,12127564
17019254,59504295,,1,Tiki Trading,3,,,2022-01-25 05:04:10+00:00,2022-01-26 09:46:17+00:00,14708064
23953587,59504295,,1,Tiki Trading,2,,,2022-01-15 05:04:06+00:00,2022-01-15 13:46:56+00:00,14494077
11437378,59504295,,1,Tiki Trading,4,,,2022-04-24 16:58:45+00:00,2022-04-28 12:58:28+00:00,16168888
11073828,59504295,,1,Tiki Trading,2,,,2023-01-05 10:57:38+00:00,2022-10-11 09:37:35+00:00,18013956
616782,59504295,,1,Tiki Trading,3,,,2021-11-17 00:53:40+00:00,2021-11-19 14:24:03+00:00,13304752
23953587,59504295,,1,Tiki Trading,1,,,2022-01-12 05:05:48+00:00,2021-11-25 15:47:59+00:00,13427420
25525745,59504295,,1,Tiki Trading,4,,,2022-02-25 11:56:53+00:00,2022-02-28 14:28:18+00:00,15230982
28013169,59504295,,1,Tiki Trading,1,,,2022-09-21 17:08:14+00:00,2022-09-22 09:14:13+00:00,17762486
8437748,59504295,,1,Tiki Trading,1,,,2022-11-02 11:48:03+00:00,2022-11-03 12:08:08+00:00,18132346
1630118,59504295,,1,Tiki Trading,1,,,2022-05-06 04:35:13+00:00,2022-05-06 15:32:46+00:00,16217662
18237052,59504295,,1,Tiki Trading,2,,,2021-11-18 17:04:20+00:00,2021-11-21 10:24:41+00:00,13352140
13822224,59504295,,1,Tiki Trading,3,,,2021-07-26 11:15:15+00:00,,11486299
8633712,59504295,,1,Tiki Trading,2,,,2022-06-06 15:45:07+00:00,2022-06-07 11:08:58+00:00,17072976
