customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
21667937,912679,,1,Tiki Trading,2,,,2022-02-12 07:38:24+00:00,2022-02-12 17:50:16+00:00,15146059
9736210,912679,,1,Tiki Trading,3,,,2022-01-12 03:00:35+00:00,2022-01-19 13:08:29+00:00,15190734
8590027,912679,,2320,LOTTE MART,1,,,2021-08-17 01:46:59+00:00,2021-08-17 12:47:06+00:00,11869157
11719625,912679,,1,Tiki Trading,4,,,2021-10-06 14:32:46+00:00,2021-11-09 14:04:02+00:00,13091991
1489813,912679,,1,Tiki Trading,3,,,2021-11-03 02:11:31+00:00,2021-11-03 09:48:39+00:00,12988466
20154867,912679,,1,Tiki Trading,2,,,2022-03-08 08:42:19+00:00,2022-03-08 16:33:25+00:00,15424567
7590786,912679,,1,Tiki Trading,3,,,2021-04-01 09:28:30+00:00,2021-04-04 12:45:59+00:00,9046281
29372217,912679,,1,Tiki Trading,4,,,2024-01-18 17:16:15+00:00,2024-01-19 13:10:28+00:00,19735523
26350545,912679,,1,Tiki Trading,4,,,2022-08-09 02:45:09+00:00,2022-08-10 15:18:12+00:00,17368139
10442320,912679,,1,Tiki Trading,1,,,2024-03-14 12:13:26+00:00,2024-03-15 15:18:47+00:00,19834352
10478328,912679,,1,Tiki Trading,4,,,2022-04-15 04:43:56+00:00,2022-04-16 07:28:50+00:00,15998750
10700232,912679,,1,Tiki Trading,4,,,2022-03-11 09:15:52+00:00,2022-03-13 13:54:55+00:00,15481346
57942,912679,,1,Tiki Trading,3,,,2022-01-13 18:04:50+00:00,2022-01-19 11:20:56+00:00,14848692
8613538,912679,,2320,LOTTE MART,1,,,2021-06-16 15:01:45+00:00,2021-06-17 12:54:00+00:00,10481230
7885995,912679,,1,Tiki Trading,3,,,2020-06-29 16:48:39+00:00,2020-07-01 12:50:15+00:00,4767004
17655458,912679,,1,Tiki Trading,2,,,2022-01-27 05:26:43+00:00,2022-01-28 13:50:54+00:00,14736184
7919623,912679,,1,Tiki Trading,1,,,2021-10-07 11:31:40+00:00,2021-10-11 15:02:43+00:00,12595573
17817193,912679,,1,Tiki Trading,4,,,2022-04-17 04:59:09+00:00,2022-04-17 15:04:09+00:00,15968190
22306105,912679,,1,Tiki Trading,2,,,2022-03-27 04:48:23+00:00,2022-03-28 22:17:53+00:00,15682152
7506124,912679,,1,Tiki Trading,2,,,2022-05-27 02:38:08+00:00,2022-05-27 10:57:09+00:00,16617994
5660537,912679,,1,Tiki Trading,1,,,2023-03-27 02:07:31+00:00,2023-03-28 11:31:25+00:00,19020301
17942252,912679,,2320,LOTTE MART,4,,,2020-08-08 15:49:46+00:00,,4587226
18161259,912679,,1,Tiki Trading,2,,,2020-10-23 12:48:30+00:00,2020-10-24 14:36:04+00:00,5354922
240622,912679,,1,Tiki Trading,4,,,2021-11-02 06:49:08+00:00,2021-11-02 15:26:42+00:00,12982003
18465830,912679,,1,Tiki Trading,2,,,2022-06-25 09:11:21+00:00,2022-06-26 07:17:56+00:00,16841662
18749117,912679,,1,Tiki Trading,2,,,2022-06-30 00:20:49+00:00,2022-07-01 08:14:50+00:00,16902538
1214550,912679,,1,Tiki Trading,4,,,2022-01-12 03:00:18+00:00,2022-01-19 18:28:31+00:00,14806273
9063456,912679,,1,Tiki Trading,1,,,2022-06-19 08:54:33+00:00,2022-06-22 09:15:09+00:00,16802668
28419169,912679,,1,Tiki Trading,2,,,2023-02-12 17:42:23+00:00,2023-02-13 14:30:36+00:00,18793643
22202844,912679,,1,Tiki Trading,3,,,2021-10-06 04:48:40+00:00,2021-10-06 13:34:00+00:00,12476745
1548292,912679,,1,Tiki Trading,1,,,2022-03-24 13:14:51+00:00,2022-03-25 08:41:34+00:00,15597442
8371932,912679,,1,Tiki Trading,3,,,2022-01-27 15:01:42+00:00,2022-01-29 09:34:26+00:00,14746274
18806726,912679,,1,Tiki Trading,2,,,2022-06-25 02:03:46+00:00,2022-06-26 07:16:58+00:00,16844335
8097414,912679,,1,Tiki Trading,3,,,2023-04-16 05:16:03+00:00,2023-04-17 11:02:29+00:00,19109213
431139,912679,,1,Tiki Trading,3,,,2022-08-12 13:43:01+00:00,2022-08-13 18:07:00+00:00,17443021
19288114,912679,,1,Tiki Trading,3,,,2022-06-25 01:57:55+00:00,2022-06-26 07:17:11+00:00,16841721
5114889,912679,,1,Tiki Trading,4,,,2022-04-28 02:08:16+00:00,2022-04-28 13:48:36+00:00,16125930
475007,912679,,1,Tiki Trading,1,,,2021-09-20 17:16:30+00:00,2021-10-08 13:52:02+00:00,12534367
18161294,912679,,1,Tiki Trading,1,,,2020-10-23 13:39:41+00:00,2020-10-25 09:41:11+00:00,5354887
22117074,912679,,1,Tiki Trading,1,,,2022-01-26 06:13:36+00:00,2022-01-27 09:49:06+00:00,14740243
12246751,912679,,2320,LOTTE MART,4,,,2021-07-07 02:01:35+00:00,2021-05-05 11:24:09+00:00,10386967
27421394,912679,,1,Tiki Trading,1,,,2022-08-31 18:18:42+00:00,2022-09-01 17:25:17+00:00,17612818
18592180,912679,,2320,LOTTE MART,1,,,2021-07-15 11:10:25+00:00,2021-07-16 10:59:44+00:00,11250515
20154464,912679,,1,Tiki Trading,3,,,2022-08-22 13:15:31+00:00,2022-08-24 11:22:37+00:00,17507928
26036777,912679,,1,Tiki Trading,1,,,2022-08-19 17:19:08+00:00,2022-08-20 14:10:42+00:00,17473661
7563475,912679,,1,Tiki Trading,2,,,2021-10-08 03:05:44+00:00,2021-10-14 16:54:44+00:00,12698905
18156578,912679,,1,Tiki Trading,1,,,2022-06-23 08:11:20+00:00,2022-06-24 07:46:45+00:00,16819338
20267604,912679,,1,Tiki Trading,4,,,2023-05-04 12:34:55+00:00,2023-05-06 09:28:23+00:00,19163973
27798819,912679,,1,Tiki Trading,3,,,2022-07-07 06:52:03+00:00,2022-07-08 10:55:00+00:00,16998242
10232930,912679,,1,Tiki Trading,1,,,2022-03-29 11:28:35+00:00,2022-04-06 07:30:16+00:00,15791981
28656206,912679,,1,Tiki Trading,1,,,2023-04-27 05:56:00+00:00,2023-04-28 07:31:58+00:00,19140284
14837149,912679,,1,Tiki Trading,2,,,2022-10-23 05:40:13+00:00,2022-10-23 15:41:04+00:00,18034173
974201,912679,,2320,LOTTE MART,1,,,2017-12-26 04:36:20+00:00,,1118534
27853902,912679,,1,Tiki Trading,4,,,2022-07-19 12:18:37+00:00,2022-07-18 08:00:01+00:00,17110281
7720955,912679,,1,Tiki Trading,2,,,2022-03-27 05:30:51+00:00,2022-03-28 22:18:04+00:00,15666620
830549,912679,,1,Tiki Trading,1,,,2022-08-15 03:02:08+00:00,2022-08-15 16:35:41+00:00,17437083
8329848,912679,,1,Tiki Trading,1,,,2021-10-07 13:34:21+00:00,2021-10-08 14:16:53+00:00,12495865
12083186,912679,,1,Tiki Trading,1,,,2022-01-11 04:41:16+00:00,2022-01-12 09:10:48+00:00,14722687
202127,912679,,2320,LOTTE MART,2,,,2021-08-20 02:00:18+00:00,2021-08-20 14:15:18+00:00,12009390
18350486,912679,,1,Tiki Trading,3,,,2022-04-06 02:42:46+00:00,2022-03-28 13:28:38+00:00,15708131
9657408,912679,,1,Tiki Trading,1,,,2022-01-08 03:01:00+00:00,2022-01-09 07:39:58+00:00,14336534
11284736,912679,,1,Tiki Trading,3,,,2022-10-27 06:22:03+00:00,2022-10-28 07:51:08+00:00,18079706
18631962,912679,,1,Tiki Trading,4,,,2022-05-06 02:40:07+00:00,2022-05-06 15:06:01+00:00,16742111
955963,912679,,1,Tiki Trading,4,,,2021-10-07 17:23:17+00:00,2021-10-08 14:12:55+00:00,12534363
1544423,912679,,2320,LOTTE MART,1,,,2021-08-12 13:48:30+00:00,2021-08-13 09:49:56+00:00,11778027
17942264,912679,,2320,LOTTE MART,1,,,2020-08-08 15:54:20+00:00,,4587181
7831154,912679,,1,Tiki Trading,4,,,2022-03-30 18:08:12+00:00,2022-04-05 13:21:45+00:00,15826314
6853724,912679,,1,Tiki Trading,1,,,2022-01-25 01:16:54+00:00,2022-01-27 09:59:05+00:00,14730918
20639491,912679,,1,Tiki Trading,2,,,2021-11-05 05:29:34+00:00,2021-11-07 10:42:02+00:00,14285220
14952961,912679,,1,Tiki Trading,2,,,2022-01-24 01:23:20+00:00,2022-01-25 14:39:57+00:00,14687218
5325522,912679,,1,Tiki Trading,1,,,2022-06-06 09:20:45+00:00,2022-06-07 10:27:29+00:00,16742172
7295520,912679,,2320,LOTTE MART,2,,,2021-08-20 06:21:39+00:00,2021-08-21 11:46:01+00:00,11956787
27840355,912679,,1,Tiki Trading,3,,,2022-07-27 17:49:46+00:00,2022-07-28 16:00:21+00:00,17229267
