customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
764260,180378151,,1,Tiki Trading,3,,,2022-07-14 15:57:46+00:00,2022-07-17 09:39:47+00:00,17097900
11335632,180378151,,1,Tiki Trading,3,,,2023-08-27 16:49:55+00:00,2023-08-28 13:49:59+00:00,19492274
15079660,180378151,,1,Tiki Trading,1,,,2022-07-27 01:48:20+00:00,2022-07-28 10:34:21+00:00,17229808
22130949,180378151,,1,Tiki Trading,4,,,2023-01-30 05:20:04+00:00,2023-01-31 08:46:26+00:00,18713239
18811194,180378151,,1,Tiki Trading,4,,,2022-09-09 03:06:01+00:00,2022-09-10 11:39:12+00:00,17658560
27944361,180378151,,1,Tiki Trading,3,,,2024-11-01 02:20:17+00:00,2024-11-04 18:57:12+00:00,20024028
816744,180378151,,1,Tiki Trading,3,,,2023-03-07 06:34:38+00:00,2023-03-08 09:24:26+00:00,18925211
5252659,180378151,,1,Tiki Trading,1,,,2022-08-25 10:41:55+00:00,2022-08-27 09:19:18+00:00,17574125
7636047,180378151,,1,Tiki Trading,3,,,2024-08-09 13:09:01+00:00,2024-08-13 19:59:19+00:00,19956844
27634803,180378151,,1,Tiki Trading,3,,,2022-07-14 04:49:00+00:00,2022-07-15 12:59:09+00:00,17075335
21333139,180378151,,1,Tiki Trading,4,,,2022-08-18 00:52:24+00:00,2022-08-18 13:35:41+00:00,17452013
12124624,180378151,,1,Tiki Trading,1,,,2023-11-11 04:19:30+00:00,2023-11-12 19:25:19+00:00,19881481
10715339,180378151,,1,Tiki Trading,2,,,2022-07-15 15:22:25+00:00,2022-07-16 10:25:14+00:00,17095518
21977146,180378151,,1,Tiki Trading,2,,,2023-08-01 15:37:13+00:00,2023-08-04 15:22:40+00:00,19433133
55659,180378151,,1,Tiki Trading,2,,,2022-08-16 03:46:05+00:00,2022-08-17 09:22:43+00:00,17438919
113095,180378151,,1,Tiki Trading,1,,,2023-03-09 03:18:34+00:00,2023-03-10 11:40:19+00:00,18949138
533103,180378151,,1,Tiki Trading,1,,,2022-07-16 09:23:24+00:00,2022-07-17 08:55:10+00:00,17189250
6203359,180378151,,1,Tiki Trading,4,,,2022-07-15 01:21:46+00:00,2022-07-18 11:04:52+00:00,17166527
9912560,180378151,,1,Tiki Trading,2,,,2022-08-08 14:45:03+00:00,2022-08-09 09:23:16+00:00,17408155
6220221,180378151,,1,Tiki Trading,4,,,2022-11-07 05:49:37+00:00,2022-11-08 11:23:54+00:00,18158553
21763322,180378151,,1,Tiki Trading,2,,,2023-08-23 01:21:22+00:00,2023-08-23 11:57:17+00:00,19480699
48334,180378151,,1,Tiki Trading,1,,,2022-09-24 03:22:59+00:00,2022-09-24 12:04:56+00:00,17782639
12454979,180378151,,1,Tiki Trading,3,,,2022-08-28 03:42:25+00:00,2022-08-28 12:32:14+00:00,17546186
28333225,180378151,,1,Tiki Trading,4,,,2023-02-09 13:37:36+00:00,2023-02-10 10:07:13+00:00,18828473
