id,customer_id,product_id,rating,title,content,status,thank_count,comment_count,images,images_raw,review_image_urls,review_images_flat,review_image_count,has_review_images,first_review_image_url,seller_id,seller_name,delivery_rating
20139552,11781766,73124602,5,Cực kì hài lòng,"Hàng giao nhanh, bao bì đóng gói cẩn thận. Chỉ tiếc là màu bình (xanh đậm) không được như kỳ vọng, khác với màu hình trên hộp. Có lẽ bình có màu tím nhạt thì đúng hơn. Cảm ơn shop.",approved,0,0,"[""https://salt.tikicdn.com/ts/review/2c/62/88/d40f8f1d2733267d6aa6dd73df62d307.jpg"", ""https://salt.tikicdn.com/ts/review/01/93/65/be189811db4a8f81389f8c4922015ff2.jpg"", ""https://salt.tikicdn.com/ts/review/76/60/89/23ff80c89112f49e30093ff29cfc3056.jpg""]","[{""id"": 4408510, ""full_path"": ""https://salt.tikicdn.com/ts/review/2c/62/88/d40f8f1d2733267d6aa6dd73df62d307.jpg"", ""status"": ""approved""}, {""id"": 4408511, ""full_path"": ""https://salt.tikicdn.com/ts/review/01/93/65/be189811db4a8f81389f8c4922015ff2.jpg"", ""status"": ""approved""}, {""id"": 4408512, ""full_path"": ""https://salt.tikicdn.com/ts/review/76/60/89/23ff80c89112f49e30093ff29cfc3056.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/2c/62/88/d40f8f1d2733267d6aa6dd73df62d307.jpg"", ""https://salt.tikicdn.com/ts/review/01/93/65/be189811db4a8f81389f8c4922015ff2.jpg"", ""https://salt.tikicdn.com/ts/review/76/60/89/23ff80c89112f49e30093ff29cfc3056.jpg""]",https://salt.tikicdn.com/ts/review/2c/62/88/d40f8f1d2733267d6aa6dd73df62d307.jpg | https://salt.tikicdn.com/ts/review/01/93/65/be189811db4a8f81389f8c4922015ff2.jpg | https://salt.tikicdn.com/ts/review/76/60/89/23ff80c89112f49e30093ff29cfc3056.jpg,3,True,https://salt.tikicdn.com/ts/review/2c/62/88/d40f8f1d2733267d6aa6dd73df62d307.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Không hẹn trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19688235,11257781,73124602,1,Rất không hài lòng,"tối wa mới nhận được hàng đổi, thấy BP hậu mãi đổi trả tương đối nhanh, tính sáng nay lên web cho 4 sao, nhưng thật đáng tiếc là khi tôi *** thử thì nhiệt vẫn tỏa ra trên phần nắp bình , thật là thất vọng, ko đổi nauwx, tôi yêu cầu trả hàng hoàn tiền",approved,0,1,"[""https://salt.tikicdn.com/ts/review/10/60/af/1f099247f33be08ba8798f0d4c422dae.jpg"", ""https://salt.tikicdn.com/ts/review/3d/4a/33/4a888c4d92d81a00a82c4fbaf85ae660.jpg""]","[{""id"": 4320993, ""full_path"": ""https://salt.tikicdn.com/ts/review/10/60/af/1f099247f33be08ba8798f0d4c422dae.jpg"", ""status"": ""approved""}, {""id"": 4320994, ""full_path"": ""https://salt.tikicdn.com/ts/review/3d/4a/33/4a888c4d92d81a00a82c4fbaf85ae660.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/10/60/af/1f099247f33be08ba8798f0d4c422dae.jpg"", ""https://salt.tikicdn.com/ts/review/3d/4a/33/4a888c4d92d81a00a82c4fbaf85ae660.jpg""]",https://salt.tikicdn.com/ts/review/10/60/af/1f099247f33be08ba8798f0d4c422dae.jpg | https://salt.tikicdn.com/ts/review/3d/4a/33/4a888c4d92d81a00a82c4fbaf85ae660.jpg,2,True,https://salt.tikicdn.com/ts/review/10/60/af/1f099247f33be08ba8798f0d4c422dae.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19898227,10395977,73124602,5,Cực kì hài lòng,Sản phẩm rất là đẹp ạ.. nhìn sang . Chất lượng thì tin tưởng lock lock .bình khá bự nhé. Nữ xài hơi mỏi tay. Nam xài ok nek. M mua cho ck.,approved,2,1,"[""https://salt.tikicdn.com/ts/review/ae/40/cb/6b8bce57269af4374f0ebc171f952756.jpg"", ""https://salt.tikicdn.com/ts/review/87/af/26/57d59ac9d9572184083c68c9b496e8bf.jpg"", ""https://salt.tikicdn.com/ts/review/fa/f5/85/978dfc01da47b541b61b4ff15ab9299f.jpg"", ""https://salt.tikicdn.com/ts/review/db/75/1e/5dda2e56e7f89e4f75a92013434d091d.jpg"", ""https://salt.tikicdn.com/ts/review/90/f3/83/b317cb452c2cf402edf3cc5d1a811502.jpg""]","[{""id"": 4360939, ""full_path"": ""https://salt.tikicdn.com/ts/review/ae/40/cb/6b8bce57269af4374f0ebc171f952756.jpg"", ""status"": ""approved""}, {""id"": 4360940, ""full_path"": ""https://salt.tikicdn.com/ts/review/87/af/26/57d59ac9d9572184083c68c9b496e8bf.jpg"", ""status"": ""approved""}, {""id"": 4360941, ""full_path"": ""https://salt.tikicdn.com/ts/review/fa/f5/85/978dfc01da47b541b61b4ff15ab9299f.jpg"", ""status"": ""approved""}, {""id"": 4360942, ""full_path"": ""https://salt.tikicdn.com/ts/review/db/75/1e/5dda2e56e7f89e4f75a92013434d091d.jpg"", ""status"": ""approved""}, {""id"": 4360943, ""full_path"": ""https://salt.tikicdn.com/ts/review/90/f3/83/b317cb452c2cf402edf3cc5d1a811502.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/ae/40/cb/6b8bce57269af4374f0ebc171f952756.jpg"", ""https://salt.tikicdn.com/ts/review/87/af/26/57d59ac9d9572184083c68c9b496e8bf.jpg"", ""https://salt.tikicdn.com/ts/review/fa/f5/85/978dfc01da47b541b61b4ff15ab9299f.jpg"", ""https://salt.tikicdn.com/ts/review/db/75/1e/5dda2e56e7f89e4f75a92013434d091d.jpg"", ""https://salt.tikicdn.com/ts/review/90/f3/83/b317cb452c2cf402edf3cc5d1a811502.jpg""]",https://salt.tikicdn.com/ts/review/ae/40/cb/6b8bce57269af4374f0ebc171f952756.jpg | https://salt.tikicdn.com/ts/review/87/af/26/57d59ac9d9572184083c68c9b496e8bf.jpg | https://salt.tikicdn.com/ts/review/fa/f5/85/978dfc01da47b541b61b4ff15ab9299f.jpg | https://salt.tikicdn.com/ts/review/db/75/1e/5dda2e56e7f89e4f75a92013434d091d.jpg | https://salt.tikicdn.com/ts/review/90/f3/83/b317cb452c2cf402edf3cc5d1a811502.jpg,5,True,https://salt.tikicdn.com/ts/review/ae/40/cb/6b8bce57269af4374f0ebc171f952756.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
20229059,794027,73124602,5,Cực kì hài lòng,Đang dùng hàng của shop mua rất lâu nhưng vẫn dùng tốt. Vì mất cái ron nên mua thêm  . Chất lượng vẫn như trước👍,approved,0,0,"[""https://salt.tikicdn.com/ts/review/bd/96/f7/ab108583ed965cac10df5f911e338305.jpg""]","[{""id"": 4425623, ""full_path"": ""https://salt.tikicdn.com/ts/review/bd/96/f7/ab108583ed965cac10df5f911e338305.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/bd/96/f7/ab108583ed965cac10df5f911e338305.jpg""]",https://salt.tikicdn.com/ts/review/bd/96/f7/ab108583ed965cac10df5f911e338305.jpg,1,True,https://salt.tikicdn.com/ts/review/bd/96/f7/ab108583ed965cac10df5f911e338305.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
19905166,7489865,73124602,4,Hài lòng,"Dùng được 3 tháng, giờ mới đánh giá, về chất lượng giữ nhiệt thì k phải bàn, mỗi tội lớp sơn đen bên ngoài khá kém, mình dùng 3 tháng mà phần nắp tróc gần hết sơn, hy vọng hãng làm những sản phẩm sau sẽ tốt hơn.",approved,0,1,"[""https://salt.tikicdn.com/ts/review/a5/47/b5/d97505e13e33e00d9ad04d1dac28f63f.jpg"", ""https://salt.tikicdn.com/ts/review/a2/27/7c/be811daffaea9c1f3ebe5e48b0bae00e.jpg""]","[{""id"": 4362135, ""full_path"": ""https://salt.tikicdn.com/ts/review/a5/47/b5/d97505e13e33e00d9ad04d1dac28f63f.jpg"", ""status"": ""approved""}, {""id"": 4362136, ""full_path"": ""https://salt.tikicdn.com/ts/review/a2/27/7c/be811daffaea9c1f3ebe5e48b0bae00e.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/a5/47/b5/d97505e13e33e00d9ad04d1dac28f63f.jpg"", ""https://salt.tikicdn.com/ts/review/a2/27/7c/be811daffaea9c1f3ebe5e48b0bae00e.jpg""]",https://salt.tikicdn.com/ts/review/a5/47/b5/d97505e13e33e00d9ad04d1dac28f63f.jpg | https://salt.tikicdn.com/ts/review/a2/27/7c/be811daffaea9c1f3ebe5e48b0bae00e.jpg,2,True,https://salt.tikicdn.com/ts/review/a5/47/b5/d97505e13e33e00d9ad04d1dac28f63f.jpg,1,Tiki Trading,[]
18523650,8272223,73124602,5,Cực kì hài lòng,"Tôi đánh giá cao về sản phẩm này từ thiết kế, màu sắc, chất lượng cho đến tính thân thiện. Thiết kế rất sang trọng, trendy, mức độ hoàn thiện sản phẩm cao, kết cấu vừa đơn giản, dễ sử dụng nhưng vẫn đảm bảo được tính năng sản phẩm là giữ nhiệt.",approved,0,0,"[""https://salt.tikicdn.com/ts/review/6a/40/1b/ce10d200e9ba3ceb9cbf2c9494dc2f14.jpg"", ""https://salt.tikicdn.com/ts/review/4a/54/2a/b9af693906449b12dc86ba12525f2de6.jpg"", ""https://salt.tikicdn.com/ts/review/3c/33/62/5e9253b48877b105988a9e3ff714c1c9.jpg""]","[{""id"": 4057974, ""full_path"": ""https://salt.tikicdn.com/ts/review/6a/40/1b/ce10d200e9ba3ceb9cbf2c9494dc2f14.jpg"", ""status"": ""approved""}, {""id"": 4057975, ""full_path"": ""https://salt.tikicdn.com/ts/review/4a/54/2a/b9af693906449b12dc86ba12525f2de6.jpg"", ""status"": ""approved""}, {""id"": 4057976, ""full_path"": ""https://salt.tikicdn.com/ts/review/3c/33/62/5e9253b48877b105988a9e3ff714c1c9.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/6a/40/1b/ce10d200e9ba3ceb9cbf2c9494dc2f14.jpg"", ""https://salt.tikicdn.com/ts/review/4a/54/2a/b9af693906449b12dc86ba12525f2de6.jpg"", ""https://salt.tikicdn.com/ts/review/3c/33/62/5e9253b48877b105988a9e3ff714c1c9.jpg""]",https://salt.tikicdn.com/ts/review/6a/40/1b/ce10d200e9ba3ceb9cbf2c9494dc2f14.jpg | https://salt.tikicdn.com/ts/review/4a/54/2a/b9af693906449b12dc86ba12525f2de6.jpg | https://salt.tikicdn.com/ts/review/3c/33/62/5e9253b48877b105988a9e3ff714c1c9.jpg,3,True,https://salt.tikicdn.com/ts/review/6a/40/1b/ce10d200e9ba3ceb9cbf2c9494dc2f14.jpg,1,Tiki Trading,[]
18956328,20633661,73124602,5,Cực kì hài lòng,"Tiện lợi, đẹp mắt, giao hàng nhanh chóng trong 2h có luôn, ưng ý đặt thêm 1 bình nữa nhưng bình thứ 2 bi trầy xước nhẹ. Ai phu trách chất lượng nhớ kiểm tra rồi giao khách.",approved,2,1,"[""https://salt.tikicdn.com/ts/review/50/69/57/b03c355a6e8f091774b797daac43f7e0.jpg"", ""https://salt.tikicdn.com/ts/review/86/76/54/9eaff7e99b7eef6c945ff87722a4e44d.jpg"", ""https://salt.tikicdn.com/ts/review/49/4d/f5/b19ae53ca2d97c2e86a6fd80fb2c0066.jpg"", ""https://salt.tikicdn.com/ts/review/aa/5e/dc/21fc183c25cf45d54cdb8f556fd03497.jpg"", ""https://salt.tikicdn.com/ts/review/36/cf/34/46da1bc25f71e49cf4721399d6f45be9.jpg""]","[{""id"": 4154857, ""full_path"": ""https://salt.tikicdn.com/ts/review/50/69/57/b03c355a6e8f091774b797daac43f7e0.jpg"", ""status"": ""approved""}, {""id"": 4154858, ""full_path"": ""https://salt.tikicdn.com/ts/review/86/76/54/9eaff7e99b7eef6c945ff87722a4e44d.jpg"", ""status"": ""approved""}, {""id"": 4154859, ""full_path"": ""https://salt.tikicdn.com/ts/review/49/4d/f5/b19ae53ca2d97c2e86a6fd80fb2c0066.jpg"", ""status"": ""approved""}, {""id"": 4154860, ""full_path"": ""https://salt.tikicdn.com/ts/review/aa/5e/dc/21fc183c25cf45d54cdb8f556fd03497.jpg"", ""status"": ""approved""}, {""id"": 4154861, ""full_path"": ""https://salt.tikicdn.com/ts/review/36/cf/34/46da1bc25f71e49cf4721399d6f45be9.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/50/69/57/b03c355a6e8f091774b797daac43f7e0.jpg"", ""https://salt.tikicdn.com/ts/review/86/76/54/9eaff7e99b7eef6c945ff87722a4e44d.jpg"", ""https://salt.tikicdn.com/ts/review/49/4d/f5/b19ae53ca2d97c2e86a6fd80fb2c0066.jpg"", ""https://salt.tikicdn.com/ts/review/aa/5e/dc/21fc183c25cf45d54cdb8f556fd03497.jpg"", ""https://salt.tikicdn.com/ts/review/36/cf/34/46da1bc25f71e49cf4721399d6f45be9.jpg""]",https://salt.tikicdn.com/ts/review/50/69/57/b03c355a6e8f091774b797daac43f7e0.jpg | https://salt.tikicdn.com/ts/review/86/76/54/9eaff7e99b7eef6c945ff87722a4e44d.jpg | https://salt.tikicdn.com/ts/review/49/4d/f5/b19ae53ca2d97c2e86a6fd80fb2c0066.jpg | https://salt.tikicdn.com/ts/review/aa/5e/dc/21fc183c25cf45d54cdb8f556fd03497.jpg | https://salt.tikicdn.com/ts/review/36/cf/34/46da1bc25f71e49cf4721399d6f45be9.jpg,5,True,https://salt.tikicdn.com/ts/review/50/69/57/b03c355a6e8f091774b797daac43f7e0.jpg,1,Tiki Trading,[]
17927284,11719752,73124602,4,Hài lòng,"Cảm nhận sau 2 lần mua loại này, vì lần trước ưng (cũng sale năm ngoái) quá nên lần này cũng săn sale để mua. Cảm nhận hàng mới này không chắc tay như lần trước, cảm thấy vật liệu như mỏng hơn, bên trong bên ngoài lộ rõ gân rập không biết có bị ảnh hưởng đến chức năng giữ nhiệt hay bị ô xi hóa không. Giữ nhiệt thì chưa ***. Lần này được tặng thêm cọ rửa tạm thời vẫn để 4*. Dùng mấy tháng quay lại đánh giá thêm thấy chất lượng giữ nhiệt nóng lạnh vẫn tốt nha mn. Nên mua ạ!",approved,0,0,"[""https://salt.tikicdn.com/ts/review/c6/80/c0/6541624a654573bc70abf33609c398f3.jpg"", ""https://salt.tikicdn.com/ts/review/ae/71/e5/80386319e79bb7c45db0377762b7cf79.jpg"", ""https://salt.tikicdn.com/ts/review/d0/34/b9/1f24df08b18ddd2dbb62d9183c6c5326.jpg""]","[{""id"": 4045820, ""full_path"": ""https://salt.tikicdn.com/ts/review/c6/80/c0/6541624a654573bc70abf33609c398f3.jpg"", ""status"": ""approved""}, {""id"": 4045821, ""full_path"": ""https://salt.tikicdn.com/ts/review/ae/71/e5/80386319e79bb7c45db0377762b7cf79.jpg"", ""status"": ""approved""}, {""id"": 4045822, ""full_path"": ""https://salt.tikicdn.com/ts/review/d0/34/b9/1f24df08b18ddd2dbb62d9183c6c5326.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/c6/80/c0/6541624a654573bc70abf33609c398f3.jpg"", ""https://salt.tikicdn.com/ts/review/ae/71/e5/80386319e79bb7c45db0377762b7cf79.jpg"", ""https://salt.tikicdn.com/ts/review/d0/34/b9/1f24df08b18ddd2dbb62d9183c6c5326.jpg""]",https://salt.tikicdn.com/ts/review/c6/80/c0/6541624a654573bc70abf33609c398f3.jpg | https://salt.tikicdn.com/ts/review/ae/71/e5/80386319e79bb7c45db0377762b7cf79.jpg | https://salt.tikicdn.com/ts/review/d0/34/b9/1f24df08b18ddd2dbb62d9183c6c5326.jpg,3,True,https://salt.tikicdn.com/ts/review/c6/80/c0/6541624a654573bc70abf33609c398f3.jpg,1,Tiki Trading,[]
13095175,22884215,73124602,4,Hài lòng,"Bình đẹp ko trầy xước, khả năng giữ nhiệt để dùng một thời gian nữa xem sao. Điểm trừ là nhà bán gói hàng quá sơ sài, không chắc chắn. Nếu shipper mà ko cẩn thận thì bình sẽ dễ bị móp méo do va đập. Mong nhà bán cải thiện khâu đóng gói sản phẩm trước khi giao cho khách",approved,0,0,"[""https://salt.tikicdn.com/ts/review/cc/bd/4d/5509ccd0d33c83d8f5a11ace05a809e2.jpg"", ""https://salt.tikicdn.com/ts/review/bd/b2/8e/90c7d1dca51b67da7eb19f3c3a8373ca.jpg"", ""https://salt.tikicdn.com/ts/review/d0/69/20/a4930833a1cfad8b814e44bdd8c2ea42.jpg"", ""https://salt.tikicdn.com/ts/review/76/c0/03/98535dd204be9d909348faff126e1478.jpg"", ""https://salt.tikicdn.com/ts/review/70/85/56/9600e6050d14f453bebbe508bd9c3209.jpg""]","[{""id"": 3588194, ""full_path"": ""https://salt.tikicdn.com/ts/review/cc/bd/4d/5509ccd0d33c83d8f5a11ace05a809e2.jpg"", ""status"": ""approved""}, {""id"": 3588195, ""full_path"": ""https://salt.tikicdn.com/ts/review/bd/b2/8e/90c7d1dca51b67da7eb19f3c3a8373ca.jpg"", ""status"": ""approved""}, {""id"": 3588196, ""full_path"": ""https://salt.tikicdn.com/ts/review/d0/69/20/a4930833a1cfad8b814e44bdd8c2ea42.jpg"", ""status"": ""approved""}, {""id"": 3588197, ""full_path"": ""https://salt.tikicdn.com/ts/review/76/c0/03/98535dd204be9d909348faff126e1478.jpg"", ""status"": ""approved""}, {""id"": 3588198, ""full_path"": ""https://salt.tikicdn.com/ts/review/70/85/56/9600e6050d14f453bebbe508bd9c3209.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/cc/bd/4d/5509ccd0d33c83d8f5a11ace05a809e2.jpg"", ""https://salt.tikicdn.com/ts/review/bd/b2/8e/90c7d1dca51b67da7eb19f3c3a8373ca.jpg"", ""https://salt.tikicdn.com/ts/review/d0/69/20/a4930833a1cfad8b814e44bdd8c2ea42.jpg"", ""https://salt.tikicdn.com/ts/review/76/c0/03/98535dd204be9d909348faff126e1478.jpg"", ""https://salt.tikicdn.com/ts/review/70/85/56/9600e6050d14f453bebbe508bd9c3209.jpg""]",https://salt.tikicdn.com/ts/review/cc/bd/4d/5509ccd0d33c83d8f5a11ace05a809e2.jpg | https://salt.tikicdn.com/ts/review/bd/b2/8e/90c7d1dca51b67da7eb19f3c3a8373ca.jpg | https://salt.tikicdn.com/ts/review/d0/69/20/a4930833a1cfad8b814e44bdd8c2ea42.jpg | https://salt.tikicdn.com/ts/review/76/c0/03/98535dd204be9d909348faff126e1478.jpg | https://salt.tikicdn.com/ts/review/70/85/56/9600e6050d14f453bebbe508bd9c3209.jpg,5,True,https://salt.tikicdn.com/ts/review/cc/bd/4d/5509ccd0d33c83d8f5a11ace05a809e2.jpg,1,Tiki Trading,[]
20054212,6810614,73124602,5,Cực kì hài lòng,"Đóng gói cẩn thận, hàng đẹp như quảng cáo, chưa dùng mà đã ưng ý rồi.",approved,0,1,"[""https://salt.tikicdn.com/ts/review/11/68/03/0085b360b9d607255197a6f9f18ca8f3.jpg"", ""https://salt.tikicdn.com/ts/review/7b/a2/d4/5ee3fae1dee969d6839856844c972656.jpg"", ""https://salt.tikicdn.com/ts/review/59/cd/78/c051140b95205d89cbe91a8ee7935b9c.jpg""]","[{""id"": 4392093, ""full_path"": ""https://salt.tikicdn.com/ts/review/11/68/03/0085b360b9d607255197a6f9f18ca8f3.jpg"", ""status"": ""approved""}, {""id"": 4392094, ""full_path"": ""https://salt.tikicdn.com/ts/review/7b/a2/d4/5ee3fae1dee969d6839856844c972656.jpg"", ""status"": ""approved""}, {""id"": 4392095, ""full_path"": ""https://salt.tikicdn.com/ts/review/59/cd/78/c051140b95205d89cbe91a8ee7935b9c.jpg"", ""status"": ""approved""}]","[""https://salt.tikicdn.com/ts/review/11/68/03/0085b360b9d607255197a6f9f18ca8f3.jpg"", ""https://salt.tikicdn.com/ts/review/7b/a2/d4/5ee3fae1dee969d6839856844c972656.jpg"", ""https://salt.tikicdn.com/ts/review/59/cd/78/c051140b95205d89cbe91a8ee7935b9c.jpg""]",https://salt.tikicdn.com/ts/review/11/68/03/0085b360b9d607255197a6f9f18ca8f3.jpg | https://salt.tikicdn.com/ts/review/7b/a2/d4/5ee3fae1dee969d6839856844c972656.jpg | https://salt.tikicdn.com/ts/review/59/cd/78/c051140b95205d89cbe91a8ee7935b9c.jpg,3,True,https://salt.tikicdn.com/ts/review/11/68/03/0085b360b9d607255197a6f9f18ca8f3.jpg,1,Tiki Trading,"[{'question': 'Thời gian giao hàng?', 'option': 'Giao đúng hẹn'}, {'question': 'Thái độ của shipper?', 'option': 'Lịch sự'}, {'question': 'Giờ giao hàng?', 'option': 'Có hẹn giờ trước'}, {'question': 'Cách đóng gói sản phẩm?', 'option': 'Cẩn thận'}]"
