customer_id,product_id,order_id,seller_id,seller_name,quantity,price_at_purchase,total_price,purchased_at,delivery_date,review_id
22581193,273624233,,1,Tiki Trading,1,,,2026-05-08 01:37:11+00:00,2026-05-09 09:53:37+00:00,20232405
30073985,273624233,,1,Tiki Trading,2,,,2025-08-21 00:07:52+00:00,2025-08-22 11:25:58+00:00,20161601
17568495,273624233,,1,Tiki Trading,2,,,2024-10-27 04:13:17+00:00,2024-10-31 10:52:01+00:00,20022022
24544333,273624233,,1,Tiki Trading,3,,,2023-06-20 08:46:43+00:00,2023-06-14 10:47:37+00:00,19294970
13215640,273624233,,1,Tiki Trading,1,,,2024-03-02 02:51:08+00:00,2024-03-02 11:43:57+00:00,19792427
11031374,273624233,,1,Tiki Trading,1,,,2024-07-17 12:38:32+00:00,2024-07-18 14:16:29+00:00,19930564
6106142,273624233,,1,Tiki Trading,4,,,2024-04-10 09:01:58+00:00,2024-04-12 14:09:08+00:00,19842901
17278090,273624233,,1,Tiki Trading,2,,,2024-07-07 02:01:41+00:00,2024-07-07 10:57:13+00:00,19921140
28676759,273624233,,1,Tiki Trading,3,,,2023-01-02 11:15:26+00:00,2023-01-04 11:57:48+00:00,18567035
7484307,273624233,,1,Tiki Trading,4,,,2023-03-21 03:16:10+00:00,2023-03-21 11:50:38+00:00,19116757
7709378,273624233,,1,Tiki Trading,4,,,2023-01-11 14:19:42+00:00,2022-08-04 11:17:21+00:00,17297145
15907615,273624233,,1,Tiki Trading,3,,,2024-03-14 04:59:34+00:00,2024-03-16 11:49:05+00:00,19821437
23355768,273624233,,1,Tiki Trading,1,,,2022-07-09 04:51:01+00:00,2022-07-07 16:28:05+00:00,16978836
23634753,273624233,,1,Tiki Trading,3,,,2025-01-11 10:47:54+00:00,2025-01-15 07:41:51+00:00,20068075
436821,273624233,,1,Tiki Trading,3,,,2022-08-27 04:22:02+00:00,2022-08-27 12:55:37+00:00,17544289
359020,273624233,,1,Tiki Trading,4,,,2022-10-08 13:53:20+00:00,2022-10-09 09:16:20+00:00,18085444
8610667,273624233,,1,Tiki Trading,3,,,2023-04-21 04:47:52+00:00,2023-04-21 13:05:08+00:00,19116726
21526679,273624233,,1,Tiki Trading,3,,,2022-10-06 10:00:41+00:00,2022-10-06 19:41:44+00:00,17895294
6330821,273624233,,1,Tiki Trading,3,,,2024-08-29 14:04:00+00:00,2024-08-30 10:48:11+00:00,19973034
9777666,273624233,,1,Tiki Trading,3,,,2022-06-02 13:53:52+00:00,2022-06-03 09:35:07+00:00,16576789
7709378,273624233,,1,Tiki Trading,4,,,2022-08-03 22:10:03+00:00,2022-08-04 11:17:21+00:00,17297078
652079,273624233,,1,Tiki Trading,2,,,2022-11-04 06:47:57+00:00,2022-11-05 09:50:14+00:00,18156986
1146363,273624233,,1,Tiki Trading,4,,,2024-03-03 00:53:09+00:00,2024-03-03 14:31:36+00:00,19793504
9943640,273624233,,1,Tiki Trading,3,,,2023-02-16 15:12:10+00:00,2023-02-20 10:59:12+00:00,18841005
8323803,273624233,,1,Tiki Trading,2,,,2024-05-23 06:25:39+00:00,2024-05-24 09:29:10+00:00,19882033
7666203,273624233,,1,Tiki Trading,3,,,2023-01-14 13:13:13+00:00,2023-01-18 10:01:37+00:00,18716361
28026274,273624233,,1,Tiki Trading,4,,,2022-08-22 05:47:30+00:00,2022-08-23 10:58:10+00:00,17497966
5433776,273624233,,1,Tiki Trading,4,,,2022-12-11 20:19:00+00:00,2022-12-14 15:34:50+00:00,18444945
29030898,273624233,,1,Tiki Trading,2,,,2023-04-10 09:20:08+00:00,,19074474
27835320,273624233,,1,Tiki Trading,2,,,2022-08-22 10:12:23+00:00,2022-08-23 11:40:38+00:00,17503099
8442289,273624233,,1,Tiki Trading,1,,,2023-09-07 15:42:21+00:00,2023-09-11 11:12:14+00:00,19523170
17591045,273624233,,1,Tiki Trading,3,,,2022-07-14 07:23:49+00:00,2022-07-15 10:52:06+00:00,17073439
27835320,273624233,,1,Tiki Trading,2,,,2022-07-27 07:54:25+00:00,2022-07-28 11:27:05+00:00,17311376
12305463,273624233,,1,Tiki Trading,2,,,2022-11-19 04:16:15+00:00,2022-11-19 12:34:19+00:00,18272191
20029047,273624233,,1,Tiki Trading,4,,,2022-07-14 09:20:03+00:00,2022-07-15 10:55:54+00:00,17073488
26701900,273624233,,1,Tiki Trading,2,,,2022-09-09 03:43:44+00:00,2022-09-09 11:29:32+00:00,17640494
1032459,273624233,,1,Tiki Trading,4,,,2022-07-15 01:12:23+00:00,2022-07-15 13:42:18+00:00,17228544
5352780,273624233,,1,Tiki Trading,3,,,2022-12-12 05:14:40+00:00,2022-12-13 11:59:08+00:00,18408260
5550783,273624233,,1,Tiki Trading,2,,,2022-09-09 02:38:17+00:00,2022-09-10 09:29:33+00:00,17651316
1242906,273624233,,1,Tiki Trading,3,,,2022-06-07 04:29:30+00:00,2022-06-07 16:33:20+00:00,16639419
678590,273624233,,1,Tiki Trading,2,,,2022-06-05 17:13:53+00:00,2022-05-24 15:51:21+00:00,16449609
825661,273624233,,1,Tiki Trading,1,,,2022-09-06 16:14:41+00:00,2022-09-08 12:16:50+00:00,17631582
13154,273624233,,1,Tiki Trading,2,,,2022-06-28 15:37:50+00:00,2022-06-29 10:10:33+00:00,17105880
10024699,273624233,,1,Tiki Trading,4,,,2022-07-07 13:33:27+00:00,2022-07-10 09:45:24+00:00,17040803
16457666,273624233,,1,Tiki Trading,3,,,2022-07-18 13:51:47+00:00,2022-07-22 10:04:24+00:00,17164468
10991675,273624233,,1,Tiki Trading,1,,,2022-05-06 09:19:25+00:00,2022-05-10 10:12:57+00:00,16277377
